"Stadium","Year","Spectator Count","Duration of Game","Stadium Capacity","Capacity Percentage"
"Citizens Bank Park",2024,40888,180,42901,95.31
"Citizens Bank Park",2022,44225,183,42901,103.09
"Citizens Bank Park",2021,11549,182,42901,26.92
"Citizens Bank Park",2023,33196,167,42901,77.38
"Citizens Bank Park",2024,41083,156,42901,95.76
"Citizens Bank Park",2024,28077,154,42901,65.45
"Citizens Bank Park",2023,42508,167,42901,99.08
"Citizens Bank Park",2024,39595,169,42901,92.29
"Citizens Bank Park",2022,32068,237,42901,74.75
"Citizens Bank Park",2023,44544,190,42901,103.83
"Citizens Bank Park",2022,36809,222,42901,85.8
"Citizens Bank Park",2021,19652,232,42901,45.81
"Citizens Bank Park",2021,28135,153,42901,65.58
"Citizens Bank Park",2023,40388,151,42901,94.14
"Citizens Bank Park",2023,34118,138,42901,79.53
"Citizens Bank Park",2024,43553,130,42901,101.52
"Citizens Bank Park",2024,40088,165,42901,93.44
"Citizens Bank Park",2021,20135,194,42901,46.93
"Citizens Bank Park",2022,22213,182,42901,51.78
"Citizens Bank Park",2021,17892,259,42901,41.71
"Citizens Bank Park",2024,42912,150,42901,100.03
"Citizens Bank Park",2023,35302,155,42901,82.29
"Citizens Bank Park",2021,20208,238,42901,47.1
"Citizens Bank Park",2023,27025,163,42901,62.99
"Citizens Bank Park",2022,30131,178,42901,70.23
"Citizens Bank Park",2024,44448,152,42901,103.61
"Citizens Bank Park",2022,22369,177,42901,52.14
"Citizens Bank Park",2021,17190,246,42901,40.07
"Citizens Bank Park",2021,22138,219,42901,51.6
"Citizens Bank Park",2021,13125,225,42901,30.59
"Citizens Bank Park",2021,9537,195,42901,22.23
"Citizens Bank Park",2023,35062,160,42901,81.73
"Citizens Bank Park",2024,40519,177,42901,94.45
"Comerica Park",2021,17134,176,41083,41.71
"Comerica Park",2022,15375,184,41083,37.42
"Comerica Park",2021,12656,232,41083,30.81
"Comerica Park",2022,13844,179,41083,33.7
"Comerica Park",2021,7314,174,41083,17.8
"Comerica Park",2022,16560,182,41083,40.31
"Comerica Park",2022,17469,191,41083,42.52
"Comerica Park",2022,26134,170,41083,63.61
"Comerica Park",2022,18307,192,41083,44.56
"Comerica Park",2021,8000,197,41083,19.47
"Comerica Park",2024,24077,146,41083,58.61
"Comerica Park",2022,43480,210,41083,105.83
"Comerica Park",2021,19144,194,41083,46.6
"Comerica Park",2022,11756,166,41083,28.62
"Comerica Park",2024,15174,154,41083,36.93
"Comerica Park",2024,18714,178,41083,45.55
"Comerica Park",2023,26050,149,41083,63.41
"Comerica Park",2023,21585,191,41083,52.54
"Comerica Park",2024,12005,141,41083,29.22
"Comerica Park",2022,17972,158,41083,43.75
"Comerica Park",2023,30077,173,41083,73.21
"Comerica Park",2024,44711,153,41083,108.83
"Comerica Park",2022,16335,198,41083,39.76
"Comerica Park",2024,20170,148,41083,49.1
"Comerica Park",2022,13054,163,41083,31.77
"Comerica Park",2022,12122,149,41083,29.51
"Comerica Park",2021,7377,201,41083,17.96
"Comerica Park",2021,23788,198,41083,57.9
"Comerica Park",2022,34205,201,41083,83.26
"Comerica Park",2022,23941,190,41083,58.27
"Comerica Park",2024,25990,150,41083,63.26
"Comerica Park",2022,24213,223,41083,58.94
"Comerica Park",2022,15191,184,41083,36.98
"Comerica Park",2022,16067,180,41083,39.11
"Comerica Park",2024,10259,157,41083,24.97
"Comerica Park",2022,20080,180,41083,48.88
"Comerica Park",2023,10099,110,41083,24.58
"Comerica Park",2024,16035,141,41083,39.03
"Comerica Park",2021,8000,186,41083,19.47
"Comerica Park",2022,15259,179,41083,37.14
"Comerica Park",2022,18505,197,41083,45.04
"Comerica Park",2023,24186,142,41083,58.87
"Comerica Park",2023,18409,131,41083,44.81
"Comerica Park",2022,28197,135,41083,68.63
"Comerica Park",2023,14885,158,41083,36.23
"Comerica Park",2022,13137,183,41083,31.98
"Comerica Park",2021,27282,145,41083,66.41
"Comerica Park",2023,16772,155,41083,40.82
"Comerica Park",2021,8000,183,41083,19.47
"Comerica Park",2022,13820,172,41083,33.64
"Comerica Park",2022,21123,172,41083,51.42
"Comerica Park",2024,18368,171,41083,44.71
"Comerica Park",2024,25207,160,41083,61.36
"Comerica Park",2023,20160,170,41083,49.07
"Comerica Park",2023,15731,157,41083,38.29
"Comerica Park",2024,21925,154,41083,53.37
"Comerica Park",2022,21529,154,41083,52.4
"Comerica Park",2024,22975,165,41083,55.92
"Comerica Park",2023,19782,167,41083,48.15
"Comerica Park",2022,16359,161,41083,39.82
"Comerica Park",2021,9290,201,41083,22.61
"Comerica Park",2022,23502,174,41083,57.21
"Comerica Park",2021,25684,171,41083,62.52
"Comerica Park",2024,24512,142,41083,59.66
"Comerica Park",2021,20847,238,41083,50.74
"Comerica Park",2021,7133,162,41083,17.36
"Comerica Park",2024,27778,164,41083,67.61
"Comerica Park",2023,11599,196,41083,28.23
"Comerica Park",2021,13704,205,41083,33.36
"Comerica Park",2021,13333,153,41083,32.45
"Comerica Park",2024,42060,178,41083,102.38
"Comerica Park",2022,10522,231,41083,25.61
"Comerica Park",2024,20108,175,41083,48.94
"Comerica Park",2021,7568,166,41083,18.42
"Comerica Park",2022,26226,170,41083,63.84
"Comerica Park",2021,15833,155,41083,38.54
"Comerica Park",2021,21132,147,41083,51.44
"Comerica Park",2022,17565,177,41083,42.75
"Comerica Park",2024,38110,159,41083,92.76
"Comerica Park",2023,21211,170,41083,51.63
"Comerica Park",2022,37566,182,41083,91.44
"Comerica Park",2021,8000,246,41083,19.47
"Comerica Park",2024,24345,124,41083,59.26
"Comerica Park",2021,18861,172,41083,45.91
"Comerica Park",2022,23570,190,41083,57.37
"Comerica Park",2023,16570,175,41083,40.33
"Comerica Park",2021,14163,192,41083,34.47
"Comerica Park",2021,7232,212,41083,17.6
"Comerica Park",2024,27529,151,41083,67.01
"Comerica Park",2024,16290,180,41083,39.65
"Comerica Park",2021,18783,219,41083,45.72
"Comerica Park",2021,22107,177,41083,53.81
"Comerica Park",2022,11840,170,41083,28.82
"Comerica Park",2021,8000,167,41083,19.47
"Comerica Park",2024,17317,147,41083,42.15
"Comerica Park",2022,21647,189,41083,52.69
"Comerica Park",2024,17251,150,41083,41.99
"Comerica Park",2024,22530,150,41083,54.84
"Comerica Park",2022,20088,175,41083,48.9
"Comerica Park",2024,35138,143,41083,85.53
"Comerica Park",2024,27627,199,41083,67.25
"Comerica Park",2023,19630,168,41083,47.78
"Comerica Park",2024,29269,163,41083,71.24
"Comerica Park",2023,44650,152,41083,108.68
"Comerica Park",2023,28496,190,41083,69.36
"Comerica Park",2023,15080,203,41083,36.71
"Comerica Park",2023,41425,148,41083,100.83
"Comerica Park",2024,27004,163,41083,65.73
"Comerica Park",2022,15498,239,41083,37.72
"Comerica Park",2023,17236,141,41083,41.95
"Comerica Park",2022,13334,180,41083,32.46
"Comerica Park",2023,16588,145,41083,40.38
"Comerica Park",2022,15150,187,41083,36.88
"Comerica Park",2024,24624,162,41083,59.94
"Comerica Park",2021,18185,211,41083,44.26
"Comerica Park",2023,15507,176,41083,37.75
"Comerica Park",2022,40101,174,41083,97.61
"Comerica Park",2024,17677,131,41083,43.03
"Comerica Park",2021,13396,228,41083,32.61
"Comerica Park",2024,34355,121,41083,83.62
"Comerica Park",2021,15854,150,41083,38.59
"Comerica Park",2021,8000,186,41083,19.47
"Comerica Park",2024,16862,159,41083,41.04
"Comerica Park",2021,15956,174,41083,38.84
"Comerica Park",2022,12610,170,41083,30.69
"Comerica Park",2023,18742,187,41083,45.62
"Comerica Park",2023,20159,149,41083,49.07
"Comerica Park",2023,31974,167,41083,77.83
"Comerica Park",2022,24395,175,41083,59.38
"Comerica Park",2023,11048,161,41083,26.89
"Comerica Park",2023,19021,155,41083,46.3
"Comerica Park",2022,17268,186,41083,42.03
"Comerica Park",2021,15724,204,41083,38.27
"Comerica Park",2021,13425,162,41083,32.68
"Comerica Park",2024,21035,154,41083,51.2
"Comerica Park",2024,22399,139,41083,54.52
"Comerica Park",2024,16119,146,41083,39.24
"Comerica Park",2023,30029,171,41083,73.09
"Comerica Park",2022,12674,169,41083,30.85
"Comerica Park",2021,25132,179,41083,61.17
"Comerica Park",2023,11230,143,41083,27.33
"Comerica Park",2022,13211,133,41083,32.16
"Comerica Park",2023,13626,166,41083,33.17
"Comerica Park",2024,40196,191,41083,97.84
"Comerica Park",2023,20968,164,41083,51.04
"Comerica Park",2021,7525,159,41083,18.32
"Comerica Park",2024,11339,184,41083,27.6
"Comerica Park",2021,31624,176,41083,76.98
"Comerica Park",2021,24877,187,41083,60.55
"Comerica Park",2023,15149,155,41083,36.87
"Comerica Park",2021,16633,200,41083,40.49
"Comerica Park",2021,8000,158,41083,19.47
"Comerica Park",2023,30238,179,41083,73.6
"Comerica Park",2022,15712,176,41083,38.24
"Comerica Park",2023,13903,170,41083,33.84
"Comerica Park",2024,18120,131,41083,44.11
"Comerica Park",2024,23408,155,41083,56.98
"Comerica Park",2024,20429,144,41083,49.73
"Comerica Park",2021,24714,210,41083,60.16
"Comerica Park",2021,32845,207,41083,79.95
"Comerica Park",2023,15133,138,41083,36.84
"Comerica Park",2023,14616,161,41083,35.58
"Comerica Park",2024,22548,135,41083,54.88
"Comerica Park",2021,13950,141,41083,33.96
"Comerica Park",2023,24685,156,41083,60.09
"Comerica Park",2022,24669,183,41083,60.05
"Comerica Park",2022,19990,157,41083,48.66
"Comerica Park",2022,24349,170,41083,59.27
"Comerica Park",2023,24403,179,41083,59.4
"Comerica Park",2022,28016,149,41083,68.19
"Comerica Park",2024,36244,147,41083,88.22
"Comerica Park",2021,17259,152,41083,42.01
"Comerica Park",2021,18842,169,41083,45.86
"Comerica Park",2021,7369,191,41083,17.94
"Comerica Park",2022,19737,175,41083,48.04
"Comerica Park",2024,18387,161,41083,44.76
"Comerica Park",2021,16033,182,41083,39.03
"Comerica Park",2023,26749,153,41083,65.11
"Comerica Park",2021,8000,172,41083,19.47
"Comerica Park",2022,16595,179,41083,40.39
"Comerica Park",2022,13947,178,41083,33.95
"Comerica Park",2023,24856,175,41083,60.5
"Comerica Park",2021,9162,223,41083,22.3
"Comerica Park",2024,20645,170,41083,50.25
"Comerica Park",2023,17974,161,41083,43.75
"Comerica Park",2021,13492,193,41083,32.84
"Comerica Park",2021,8000,151,41083,19.47
"Comerica Park",2023,14542,143,41083,35.4
"Comerica Park",2021,8000,174,41083,19.47
"Comerica Park",2023,30939,167,41083,75.31
"Comerica Park",2024,35210,176,41083,85.7
"Comerica Park",2023,21965,160,41083,53.46
"Comerica Park",2021,7288,176,41083,17.74
"Comerica Park",2024,10377,143,41083,25.26
"Comerica Park",2023,21835,158,41083,53.15
"Comerica Park",2022,19036,217,41083,46.34
"Comerica Park",2021,13263,192,41083,32.28
"Comerica Park",2021,7832,211,41083,19.06
"Comerica Park",2022,20726,171,41083,50.45
"Comerica Park",2022,12764,172,41083,31.07
"Comerica Park",2024,20643,140,41083,50.25
"Comerica Park",2023,11363,124,41083,27.66
"Comerica Park",2024,24938,126,41083,60.7
"Comerica Park",2024,35321,124,41083,85.97
"Comerica Park",2022,21547,220,41083,52.45
"Comerica Park",2023,19664,165,41083,47.86
"Comerica Park",2022,28635,167,41083,69.7
"Comerica Park",2022,23581,160,41083,57.4
"Comerica Park",2021,13532,209,41083,32.94
"Comerica Park",2024,27140,161,41083,66.06
"Comerica Park",2023,18369,126,41083,44.71
"Comerica Park",2024,25253,140,41083,61.47
"Comerica Park",2024,27160,157,41083,66.11
"Comerica Park",2023,24523,146,41083,59.69
"Comerica Park",2023,20560,172,41083,50.05
"Comerica Park",2023,13779,158,41083,33.54
"Comerica Park",2024,18258,137,41083,44.44
"Comerica Park",2024,35159,172,41083,85.58
"Comerica Park",2022,16450,200,41083,40.04
"Comerica Park",2024,32463,161,41083,79.02
"Comerica Park",2022,16662,183,41083,40.56
"Comerica Park",2024,17111,188,41083,41.65
"Comerica Park",2024,18847,147,41083,45.88
"Comerica Park",2021,13747,115,41083,33.46
"Comerica Park",2021,14093,167,41083,34.3
"Comerica Park",2023,30053,169,41083,73.15
"Comerica Park",2023,16484,134,41083,40.12
"Comerica Park",2024,17049,150,41083,41.5
"Comerica Park",2021,7312,220,41083,17.8
"Comerica Park",2023,28834,153,41083,70.18
"Comerica Park",2023,30621,141,41083,74.53
"Comerica Park",2022,13666,180,41083,33.26
"Comerica Park",2022,17829,184,41083,43.4
"Comerica Park",2023,16945,146,41083,41.25
"Comerica Park",2023,18344,185,41083,44.65
"Comerica Park",2022,21625,213,41083,52.64
"Comerica Park",2022,29399,163,41083,71.56
"Comerica Park",2023,22644,193,41083,55.12
"Comerica Park",2023,23511,136,41083,57.23
"Comerica Park",2023,18223,155,41083,44.36
"Comerica Park",2024,41740,178,41083,101.6
"Comerica Park",2022,17400,173,41083,42.35
"Comerica Park",2021,16424,180,41083,39.98
"Comerica Park",2022,16634,200,41083,40.49
"Comerica Park",2022,14393,167,41083,35.03
"Comerica Park",2023,20195,152,41083,49.16
"Comerica Park",2021,7461,115,41083,18.16
"Comerica Park",2021,15913,227,41083,38.73
"Comerica Park",2024,16498,129,41083,40.16
"Comerica Park",2021,8000,214,41083,19.47
"Comerica Park",2024,33513,155,41083,81.57
"Comerica Park",2023,21701,161,41083,52.82
"Comerica Park",2023,15003,165,41083,36.52
"Comerica Park",2021,7356,136,41083,17.91
"Comerica Park",2024,19806,145,41083,48.21
"Comerica Park",2021,15342,205,41083,37.34
"Comerica Park",2024,22734,150,41083,55.34
"Comerica Park",2023,18438,140,41083,44.88
"Comerica Park",2021,10585,207,41083,25.76
"Comerica Park",2023,22116,148,41083,53.83
"Comerica Park",2023,27103,181,41083,65.97
"Comerica Park",2024,12434,167,41083,30.27
"Comerica Park",2023,18709,141,41083,45.54
"Comerica Park",2023,18483,148,41083,44.99
"Comerica Park",2024,21215,145,41083,51.64
"Comerica Park",2022,21996,181,41083,53.54
"Comerica Park",2024,22770,119,41083,55.42
"Comerica Park",2022,28179,177,41083,68.59
"Comerica Park",2021,18321,206,41083,44.6
"Comerica Park",2024,12901,144,41083,31.4
"Comerica Park",2024,19538,153,41083,47.56
"Comerica Park",2022,15206,219,41083,37.01
"Comerica Park",2021,12884,176,41083,31.36
"Comerica Park",2023,40224,182,41083,97.91
"Comerica Park",2024,41933,146,41083,102.07
"Comerica Park",2022,30738,171,41083,74.82
"Comerica Park",2021,8000,130,41083,19.47
"Comerica Park",2024,18794,130,41083,45.75
"Comerica Park",2022,17448,170,41083,42.47
"Comerica Park",2021,8000,203,41083,19.47
"Comerica Park",2021,11623,216,41083,28.29
"Comerica Park",2021,11321,166,41083,27.56
"Comerica Park",2023,13326,156,41083,32.44
"Comerica Park",2023,16907,136,41083,41.15
"Comerica Park",2021,13853,178,41083,33.72
"Comerica Park",2021,8000,218,41083,19.47
"Comerica Park",2022,20105,189,41083,48.94
"Comerica Park",2021,8000,182,41083,19.47
"Comerica Park",2022,18395,170,41083,44.78
"Comerica Park",2023,31607,150,41083,76.93
"Comerica Park",2023,16734,138,41083,40.73
"Comerica Park",2023,23832,162,41083,58.01
"Comerica Park",2021,12422,126,41083,30.24
"Comerica Park",2021,9081,189,41083,22.1
"Comerica Park",2022,14435,194,41083,35.14
"Comerica Park",2021,12433,196,41083,30.26
"Comerica Park",2022,25919,189,41083,63.09
"Comerica Park",2024,32333,183,41083,78.7
"Comerica Park",2024,16303,153,41083,39.68
"Comerica Park",2022,17579,209,41083,42.79
"Comerica Park",2024,15743,129,41083,38.32
"Comerica Park",2022,12536,173,41083,30.51
"Comerica Park",2023,17956,177,41083,43.71
"Comerica Park",2023,21824,168,41083,53.12
"Comerica Park",2022,15781,169,41083,38.41
"Comerica Park",2022,23064,176,41083,56.14
"Comerica Park",2021,17230,187,41083,41.94
"Comerica Park",2021,11044,224,41083,26.88
"Comerica Park",2023,15289,230,41083,37.21
"Comerica Park",2021,12593,193,41083,30.65
"Comerica Park",2024,23239,140,41083,56.57
"Comerica Park",2024,27867,143,41083,67.83
"Comerica Park",2024,44435,138,41083,108.16
"Comerica Park",2021,7306,240,41083,17.78
"Comerica Park",2024,30173,142,41083,73.44
"Coors Field",2022,19387,138,46897,41.34
"Coors Field",2021,41613,186,46897,88.73
"Coors Field",2021,20388,225,46897,43.47
"Coors Field",2024,47442,142,46897,101.16
"Coors Field",2021,30410,167,46897,64.84
"Coors Field",2021,27459,166,46897,58.55
"Coors Field",2023,43885,157,46897,93.58
"Coors Field",2021,27117,210,46897,57.82
"Coors Field",2024,25315,142,46897,53.98
"Coors Field",2021,13647,216,46897,29.1
"Coors Field",2021,20270,207,46897,43.22
"Coors Field",2023,35249,137,46897,75.16
"Coors Field",2022,23838,182,46897,50.83
"Coors Field",2024,33791,175,46897,72.05
"Coors Field",2022,28533,157,46897,60.84
"Coors Field",2021,18798,207,46897,40.08
"Coors Field",2024,26863,131,46897,57.28
"Coors Field",2023,19495,159,46897,41.57
"Coors Field",2024,20805,159,46897,44.36
"Coors Field",2024,35261,205,46897,75.19
"Coors Field",2024,25669,202,46897,54.73
"Coors Field",2022,22719,254,46897,48.44
"Coors Field",2023,32283,193,46897,68.84
"Coors Field",2024,48321,147,46897,103.04
"Coors Field",2022,32055,153,46897,68.35
"Coors Field",2022,25669,182,46897,54.73
"Coors Field",2022,48087,168,46897,102.54
"Coors Field",2022,26629,170,46897,56.78
"Coors Field",2021,30243,196,46897,64.49
"Coors Field",2022,40503,223,46897,86.37
"Coors Field",2021,26790,223,46897,57.13
"Coors Field",2024,26027,175,46897,55.5
"Coors Field",2024,33028,157,46897,70.43
"Coors Field",2023,22101,176,46897,47.13
"Coors Field",2023,22824,196,46897,48.67
"Coors Field",2022,23293,159,46897,49.67
"Coors Field",2024,37527,168,46897,80.02
"Coors Field",2023,30288,166,46897,64.58
"Coors Field",2023,47272,178,46897,100.8
"Coors Field",2021,47224,230,46897,100.7
"Coors Field",2021,27915,138,46897,59.52
"Coors Field",2021,20692,190,46897,44.12
"Coors Field",2021,45063,216,46897,96.09
"Coors Field",2024,23870,140,46897,50.9
"Coors Field",2022,20403,173,46897,43.51
"Coors Field",2024,25140,150,46897,53.61
"Coors Field",2023,29190,208,46897,62.24
"Coors Field",2022,37336,212,46897,79.61
"Coors Field",2021,19289,169,46897,41.13
"Coors Field",2024,25566,163,46897,54.52
"Coors Field",2022,35278,187,46897,75.22
"Coors Field",2023,47211,218,46897,100.67
"Coors Field",2023,27024,174,46897,57.62
"Coors Field",2023,23644,167,46897,50.42
"Coors Field",2022,28377,182,46897,60.51
"Coors Field",2024,38406,143,46897,81.89
"Coors Field",2023,25133,170,46897,53.59
"Coors Field",2024,25944,159,46897,55.32
"Coors Field",2022,30682,227,46897,65.42
"Coors Field",2024,48399,190,46897,103.2
"Coors Field",2023,27417,181,46897,58.46
"Coors Field",2022,40275,176,46897,85.88
"Coors Field",2023,30325,153,46897,64.66
"Coors Field",2024,35107,145,46897,74.86
"Coors Field",2024,31935,179,46897,68.1
"Coors Field",2023,33375,187,46897,71.17
"Coors Field",2022,33710,183,46897,71.88
"Coors Field",2023,32038,135,46897,68.32
"Coors Field",2021,23027,157,46897,49.1
"Coors Field",2021,7120,154,46897,15.18
"Coors Field",2021,10144,188,46897,21.63
"Coors Field",2023,48632,156,46897,103.7
"Coors Field",2024,32693,141,46897,69.71
"Coors Field",2023,40145,173,46897,85.6
"Coors Field",2021,35351,190,46897,75.38
"Coors Field",2022,33479,189,46897,71.39
"Coors Field",2021,20368,171,46897,43.43
"Coors Field",2024,48750,179,46897,103.95
"Coors Field",2022,28077,222,46897,59.87
"Coors Field",2022,27591,193,46897,58.83
"Coors Field",2022,34169,160,46897,72.86
"Coors Field",2022,30139,205,46897,64.27
"Coors Field",2023,20331,134,46897,43.35
"Coors Field",2023,36937,158,46897,78.76
"Coors Field",2023,26054,173,46897,55.56
"Coors Field",2021,20613,237,46897,43.95
"Coors Field",2024,48395,173,46897,103.19
"Coors Field",2021,34224,215,46897,72.98
"Coors Field",2023,20611,125,46897,43.95
"Coors Field",2023,32171,164,46897,68.6
"Coors Field",2022,41054,214,46897,87.54
"Coors Field",2024,30507,140,46897,65.05
"Coors Field",2022,23055,225,46897,49.16
"Coors Field",2023,40151,184,46897,85.62
"Coors Field",2021,10213,184,46897,21.78
"Coors Field",2024,40236,154,46897,85.8
"Coors Field",2022,48331,167,46897,103.06
"Coors Field",2024,27022,192,46897,57.62
"Coors Field",2024,34177,153,46897,72.88
"Coors Field",2021,8825,184,46897,18.82
"Coors Field",2021,24371,151,46897,51.97
"Coors Field",2023,25244,156,46897,53.83
"Coors Field",2021,36891,196,46897,78.66
"Coors Field",2024,29238,183,46897,62.35
"Coors Field",2024,19356,138,46897,41.27
"Coors Field",2024,40115,165,46897,85.54
"Coors Field",2022,30731,216,46897,65.53
"Coors Field",2022,40233,196,46897,85.79
"Coors Field",2021,24552,230,46897,52.35
"Coors Field",2023,24648,162,46897,52.56
"Coors Field",2023,43871,157,46897,93.55
"Coors Field",2022,38768,162,46897,82.67
"Coors Field",2021,12894,177,46897,27.49
"Coors Field",2022,35164,201,46897,74.98
"Coors Field",2022,38706,139,46897,82.53
"Coors Field",2023,20259,171,46897,43.2
"Coors Field",2022,37092,176,46897,79.09
"Coors Field",2021,48182,203,46897,102.74
"Coors Field",2022,36097,165,46897,76.97
"Coors Field",2023,31789,143,46897,67.78
"Coors Field",2024,37503,150,46897,79.97
"Coors Field",2024,32180,138,46897,68.62
"Coors Field",2023,30283,167,46897,64.57
"Coors Field",2023,22250,154,46897,47.44
"Coors Field",2023,32058,175,46897,68.36
"Coors Field",2021,10836,171,46897,23.11
"Coors Field",2024,36553,158,46897,77.94
"Coors Field",2022,48321,203,46897,103.04
"Coors Field",2024,35007,167,46897,74.65
"Coors Field",2021,22356,241,46897,47.67
"Coors Field",2024,36579,171,46897,78
"Coors Field",2022,48627,189,46897,103.69
"Coors Field",2022,26594,178,46897,56.71
"Coors Field",2024,32021,164,46897,68.28
"Coors Field",2021,10240,269,46897,21.84
"Coors Field",2024,26379,167,46897,56.25
"Coors Field",2022,26713,162,46897,56.96
"Coors Field",2022,25725,220,46897,54.85
"Coors Field",2024,48320,153,46897,103.03
"Coors Field",2022,32574,176,46897,69.46
"Coors Field",2024,40706,192,46897,86.8
"Coors Field",2021,20232,200,46897,43.14
"Coors Field",2024,35122,162,46897,74.89
"Coors Field",2023,19517,132,46897,41.62
"Coors Field",2021,36205,184,46897,77.2
"Coors Field",2023,34503,164,46897,73.57
"Coors Field",2023,25399,157,46897,54.16
"Coors Field",2021,21693,180,46897,46.26
"Coors Field",2023,30372,166,46897,64.76
"Coors Field",2024,21009,175,46897,44.8
"Coors Field",2022,31604,176,46897,67.39
"Coors Field",2024,40033,163,46897,85.36
"Coors Field",2023,32551,170,46897,69.41
"Coors Field",2024,40365,185,46897,86.07
"Coors Field",2023,40445,185,46897,86.24
"Coors Field",2023,19546,152,46897,41.68
"Coors Field",2021,13906,131,46897,29.65
"Coors Field",2021,22871,206,46897,48.77
"Coors Field",2024,44178,134,46897,94.2
"Coors Field",2023,48230,138,46897,102.84
"Coors Field",2022,47588,162,46897,101.47
"Coors Field",2023,40264,177,46897,85.86
"Coors Field",2024,18311,173,46897,39.05
"Coors Field",2024,38166,172,46897,81.38
"Coors Field",2022,25213,188,46897,53.76
"Coors Field",2021,30715,196,46897,65.49
"Coors Field",2023,27397,190,46897,58.42
"Coors Field",2022,47342,204,46897,100.95
"Coors Field",2024,47483,155,46897,101.25
"Coors Field",2024,18822,162,46897,40.13
"Coors Field",2024,18870,187,46897,40.24
"Coors Field",2021,20688,215,46897,44.11
"Coors Field",2022,23942,187,46897,51.05
"Coors Field",2023,37234,173,46897,79.4
"Coors Field",2022,35011,185,46897,74.66
"Coors Field",2021,32699,184,46897,69.73
"Coors Field",2021,20244,196,46897,43.17
"Coors Field",2021,19221,200,46897,40.99
"Coors Field",2021,28139,177,46897,60
"Coors Field",2022,45983,194,46897,98.05
"Coors Field",2024,47493,164,46897,101.27
"Coors Field",2024,20421,162,46897,43.54
"Coors Field",2023,36667,175,46897,78.19
"Coors Field",2022,35248,154,46897,75.16
"Coors Field",2022,34848,185,46897,74.31
"Coors Field",2023,20322,172,46897,43.33
"Coors Field",2022,23180,203,46897,49.43
"Coors Field",2022,37476,178,46897,79.91
"Coors Field",2021,14025,202,46897,29.91
"Coors Field",2023,34724,158,46897,74.04
"Coors Field",2024,18515,135,46897,39.48
"Coors Field",2023,30129,159,46897,64.25
"Coors Field",2024,20949,178,46897,44.67
"Coors Field",2022,40825,193,46897,87.05
"Coors Field",2024,37535,179,46897,80.04
"Coors Field",2021,24387,182,46897,52
"Coors Field",2021,27013,205,46897,57.6
"Coors Field",2022,36391,199,46897,77.6
"Coors Field",2022,21490,189,46897,45.82
"Coors Field",2024,27705,186,46897,59.08
"Coors Field",2022,32442,188,46897,69.18
"Coors Field",2022,27871,181,46897,59.43
"Coors Field",2021,34677,186,46897,73.94
"Coors Field",2023,47471,177,46897,101.22
"Coors Field",2021,18158,165,46897,38.72
"Coors Field",2022,27592,181,46897,58.84
"Coors Field",2021,18028,201,46897,38.44
"Coors Field",2023,47865,138,46897,102.06
"Coors Field",2021,31043,211,46897,66.19
"Coors Field",2024,20338,148,46897,43.37
"Coors Field",2022,32627,195,46897,69.57
"Coors Field",2022,34304,175,46897,73.15
"Coors Field",2024,31717,154,46897,67.63
"Coors Field",2023,24092,134,46897,51.37
"Coors Field",2021,15541,236,46897,33.14
"Coors Field",2021,20183,199,46897,43.04
"Coors Field",2021,24565,152,46897,52.38
"Coors Field",2023,48108,161,46897,102.58
"Coors Field",2022,36212,191,46897,77.22
"Coors Field",2022,22329,181,46897,47.61
"Coors Field",2023,24157,139,46897,51.51
"Coors Field",2023,24149,167,46897,51.49
"Coors Field",2022,39409,213,46897,84.03
"Coors Field",2024,30392,149,46897,64.81
"Coors Field",2024,20284,168,46897,43.25
"Coors Field",2022,41656,192,46897,88.82
"Coors Field",2024,33748,135,46897,71.96
"Coors Field",2024,19359,158,46897,41.28
"Coors Field",2024,30444,150,46897,64.92
"Coors Field",2021,30462,190,46897,64.96
"Coors Field",2021,9521,188,46897,20.3
"Coors Field",2022,26577,191,46897,56.67
"Coors Field",2021,22756,209,46897,48.52
"Coors Field",2021,39896,197,46897,85.07
"Coors Field",2024,48705,155,46897,103.86
"Coors Field",2021,33957,158,46897,72.41
"Coors Field",2022,40534,159,46897,86.43
"Coors Field",2022,47415,163,46897,101.1
"Coors Field",2023,25582,171,46897,54.55
"Coors Field",2022,30206,205,46897,64.41
"Coors Field",2022,24444,182,46897,52.12
"Coors Field",2021,35513,212,46897,75.73
"Coors Field",2023,20738,194,46897,44.22
"Coors Field",2022,20278,155,46897,43.24
"Coors Field",2021,15082,158,46897,32.16
"Coors Field",2024,19756,153,46897,42.13
"Coors Field",2023,36874,178,46897,78.63
"Coors Field",2024,25344,172,46897,54.04
"Coors Field",2024,32961,142,46897,70.28
"Coors Field",2024,21374,149,46897,45.58
"Coors Field",2021,38188,184,46897,81.43
"Coors Field",2023,18511,152,46897,39.47
"Coors Field",2023,37267,178,46897,79.47
"Coors Field",2022,32179,151,46897,68.62
"Coors Field",2022,32182,186,46897,68.62
"Coors Field",2021,20214,191,46897,43.1
"Coors Field",2024,21259,151,46897,45.33
"Coors Field",2021,48245,176,46897,102.87
"Coors Field",2024,40422,165,46897,86.19
"Coors Field",2024,25376,152,46897,54.11
"Coors Field",2024,33283,177,46897,70.97
"Coors Field",2022,35176,233,46897,75.01
"Coors Field",2023,38253,146,46897,81.57
"Coors Field",2021,34198,220,46897,72.92
"Coors Field",2021,21481,171,46897,45.8
"Coors Field",2021,25053,155,46897,53.42
