"Stadium_Name","Year","Spectator_Count","Game_Length"
"Angel Stadium of Anaheim",2024,16600,152
"Fenway Park",2024,27936,161
"Progressive Field",2024,12405,177
"Kauffman Stadium",2024,10536,157
"Target Field",2024,18640,151
"Yankee Stadium II",2024,36295,170
"Globe Life Field in Arlington",2024,30488,142
"Rogers Centre",2024,22960,160
"Truist Park",2024,34352,170
"Citizens Bank Park",2024,33362,135
"Fenway Park",2024,26230,196
"Kauffman Stadium",2024,10280,161
"Globe Life Field in Arlington",2024,19726,138
"Chase Field",2024,29247,164
"Dodger Stadium",2024,49606,194
"Marlins Park",2024,14408,157
"Citi Field",2024,18822,138
"Citizens Bank Park",2024,35578,168
"Oriole Park at Camden Yards",2024,32205,166
"Fenway Park",2024,26106,140
"Guaranteed Rate Field;U.S. Cellular Field",2024,11337,163
"Comerica Park",2024,12434,167
"Minute Maid Park",2024,39842,183
"Oakland-Alameda County Coliseum",2024,5777,156
"Safeco Field",2024,33500,155
"Tropicana Field",2024,15146,152
"Rogers Centre",2024,29035,173
"Chase Field",2024,33640,142
"Dodger Stadium",2024,44582,156
"Marlins Park",2024,22327,132
"Citi Field",2024,25387,176
"Citizens Bank Park",2024,40519,177
"Oriole Park at Camden Yards",2024,24327,180
"Fenway Park",2024,31878,148
"Guaranteed Rate Field;U.S. Cellular Field",2024,22598,149
"Progressive Field",2024,17089,177
"Progressive Field",2024,31066,148
"Comerica Park",2024,0,193
"Comerica Park",2024,22548,135
"Minute Maid Park",2024,38574,167
"Oakland-Alameda County Coliseum",2024,3330,155
"Safeco Field",2024,38104,144
"Tropicana Field",2024,17411,147
"Rogers Centre",2024,31472,152
"Chase Field",2024,26460,149
"Dodger Stadium",2024,49432,178
"Marlins Park",2024,20757,152
"Citi Field",2024,32749,142
"Citizens Bank Park",2024,44568,153
"Oriole Park at Camden Yards",2024,35085,163
"Fenway Park",2024,30792,175
"Guaranteed Rate Field;U.S. Cellular Field",2024,17589,177
"Progressive Field",2024,28119,188
"Comerica Park",2024,17317,147
"Minute Maid Park",2024,36759,154
"Oakland-Alameda County Coliseum",2024,8637,165
"Safeco Field",2024,32423,155
"Tropicana Field",2024,19470,140
"Rogers Centre",2024,27481,152
"Chase Field",2024,24468,196
"Dodger Stadium",2024,42677,156
"Marlins Park",2024,8290,156
"Miller Park",2024,18396,173
"Citi Field",2024,18266,163
"Citizens Bank Park",2024,35496,160
"Oriole Park at Camden Yards",2024,14611,154
"Fenway Park",2024,33008,165
"Guaranteed Rate Field;U.S. Cellular Field",2024,10569,137
"Comerica Park",2024,12005,141
"Minute Maid Park",2024,32407,187
"Oakland-Alameda County Coliseum",2024,5508,139
"Safeco Field",2024,16008,150
"Tropicana Field",2024,12267,154
"Rogers Centre",2024,30962,143
"Chase Field",2024,26426,218
"Dodger Stadium",2024,52718,146
"Marlins Park",2024,8076,161
"Miller Park",2024,20034,173
"Citi Field",2024,18398,148
"Citizens Bank Park",2024,35010,127
"Oriole Park at Camden Yards",2024,18108,154
"Fenway Park",2024,30133,217
"Comerica Park",2024,10377,143
"Minute Maid Park",2024,34144,175
"Oakland-Alameda County Coliseum",2024,3296,149
"Safeco Field",2024,17291,171
"Tropicana Field",2024,12160,209
"Rogers Centre",2024,31175,176
"Chase Field",2024,26567,146
"Dodger Stadium",2024,44428,136
"Marlins Park",2024,8179,144
"Miller Park",2024,24521,124
"Citi Field",2024,18092,153
"Citizens Bank Park",2024,35706,171
"Oriole Park at Camden Yards",2024,15860,156
"Fenway Park",2024,32024,109
"Guaranteed Rate Field;U.S. Cellular Field",2024,0,151
"Guaranteed Rate Field;U.S. Cellular Field",2024,10412,136
"Comerica Park",2024,10259,157
"Minute Maid Park",2024,29073,191
"Oakland-Alameda County Coliseum",2024,9551,150
"Safeco Field",2024,17225,140
"Tropicana Field",2024,10844,162
"Rogers Centre",2024,30233,190
"Oracle Park",2024,26896,132
"Fenway Park",2024,35494,159
"Comerica Park",2024,11339,184
"Tropicana Field",2024,10648,135
"Truist Park",2024,40810,150
