"Stadium_Name","Year","Spectator_Count","Game_Length"
"Marlins Park",2024,12721,155
"Miller Park",2024,37742,154
"Oracle Park",2024,33037,148
"Nationals Park",2024,22333,175
"Fenway Park",2024,32898,186
"Guaranteed Rate Field;U.S. Cellular Field",2024,38127,171
"Kauffman Stadium",2024,34066,176
"Target Field",2024,23217,146
"Target Field",2024,28605,154
"Safeco Field",2024,34889,151
"Tropicana Field",2024,20673,145
"Rogers Centre",2024,39894,140
"Chase Field",2024,46183,174
"Coors Field",2024,46169,181
"Dodger Stadium",2024,50697,149
"Marlins Park",2024,20223,219
"Miller Park",2024,38639,123
"Oracle Park",2024,40030,135
"Nationals Park",2024,22183,170
"Fenway Park",2024,35443,150
"Guaranteed Rate Field;U.S. Cellular Field",2024,38341,176
"Kauffman Stadium",2024,36799,165
"Target Field",2024,30314,118
"Yankee Stadium II",2024,0,177
"Yankee Stadium II",2024,41996,167
"Safeco Field",2024,31407,148
"Tropicana Field",2024,23898,200
"Rogers Centre",2024,34312,140
"Chase Field",2024,29071,164
"Coors Field",2024,40365,185
"Dodger Stadium",2024,50389,204
"Marlins Park",2024,15699,160
"Miller Park",2024,40049,154
"Oracle Park",2024,40447,172
"Nationals Park",2024,25456,189
"Fenway Park",2024,31762,167
"Target Field",2024,30084,181
"Yankee Stadium II",2024,45318,195
"Safeco Field",2024,35460,161
"Tropicana Field",2024,16848,147
"Rogers Centre",2024,38797,155
"Chase Field",2024,15525,144
"Great American Ballpark",2024,21682,138
"Miller Park",2024,33618,149
"Petco Park",2024,45393,145
"Oracle Park",2024,30184,155
"Angel Stadium of Anaheim",2024,29676,139
"Fenway Park",2024,35715,214
"Guaranteed Rate Field;U.S. Cellular Field",2024,22815,180
"Progressive Field",2024,25619,172
"Target Field",2024,22173,150
"Tropicana Field",2024,10540,149
"Chase Field",2024,19731,151
"Great American Ballpark",2024,19107,119
"Miller Park",2024,29174,154
"Citi Field",2024,31923,180
"Citizens Bank Park",2024,42846,142
"Petco Park",2024,42949,150
"Oracle Park",2024,30468,158
"Angel Stadium of Anaheim",2024,30982,154
"Oriole Park at Camden Yards",2024,28058,157
"Fenway Park",2024,34522,154
"Guaranteed Rate Field;U.S. Cellular Field",2024,21199,160
"Progressive Field",2024,29090,152
"Comerica Park",2024,20170,148
"Target Field",2024,25885,142
"Tropicana Field",2024,12275,152
"Chase Field",2024,16464,179
"Great American Ballpark",2024,15967,159
"Miller Park",2024,31084,179
"Citi Field",2024,28288,149
"Citizens Bank Park",2024,42577,170
"Petco Park",2024,39770,145
"Oracle Park",2024,27460,146
"Angel Stadium of Anaheim",2024,28356,142
"Oriole Park at Camden Yards",2024,26479,143
"Fenway Park",2024,35366,181
"Guaranteed Rate Field;U.S. Cellular Field",2024,22675,179
"Progressive Field",2024,30243,144
"Comerica Park",2024,18714,178
"Target Field",2024,27560,152
"Tropicana Field",2024,12493,168
"Miller Park",2024,40447,161
"Citi Field",2024,28461,225
"Citizens Bank Park",2024,43722,157
"Oracle Park",2024,29319,143
"Oriole Park at Camden Yards",2024,25445,147
"Comerica Park",2024,20429,144
"Globe Life Field in Arlington",2024,29558,167
"Wrigley Field",2024,39614,173
"Great American Ballpark",2024,32500,146
"Coors Field",2024,33054,161
"Miller Park",2024,30346,156
"Citi Field",2024,32311,161
"Citizens Bank Park",2024,41067,181
"PNC Park",2024,27058,159
"Busch Stadium III",2024,38485,159
"Angel Stadium of Anaheim",2024,37736,170
"Oriole Park at Camden Yards",2024,34541,216
"Comerica Park",2024,36244,147
"Minute Maid Park",2024,37307,168
"Tropicana Field",2024,21613,157
"Globe Life Field in Arlington",2024,28705,159
"Wrigley Field",2024,38755,151
"Great American Ballpark",2024,35430,159
"Coors Field",2024,47483,155
"Miller Park",2024,37518,138
"Citi Field",2024,34744,146
"Citizens Bank Park",2024,43356,126
"PNC Park",2024,23326,168
"Busch Stadium III",2024,41929,147
"Angel Stadium of Anaheim",2024,37268,167
"Oriole Park at Camden Yards",2024,38921,163
"Comerica Park",2024,38110,159
"Minute Maid Park",2024,37008,147
"Oakland-Alameda County Coliseum",2024,37551,157
"Tropicana Field",2024,17708,157
"Globe Life Field in Arlington",2024,31192,147
"Wrigley Field",2024,36117,152
"Great American Ballpark",2024,30388,161
"Coors Field",2024,26027,175
"Miller Park",2024,34483,127
"Citi Field",2024,30596,186
"Citizens Bank Park",2024,40677,179
"PNC Park",2024,24903,166
"Busch Stadium III",2024,40246,147
"Angel Stadium of Anaheim",2024,36102,142
"Oriole Park at Camden Yards",2024,27104,161
"BB&T Ballpark at Bowman Field",2024,2532,162
"Minute Maid Park",2024,37169,123
"Oakland-Alameda County Coliseum",2024,32727,162
"Tropicana Field",2024,18636,226
"Globe Life Field in Arlington",2024,30735,180
"Dodger Stadium",2024,51348,135
"Marlins Park",2024,7318,162
"Citi Field",2024,26874,142
"Petco Park",2024,40220,135
"Oracle Park",2024,29209,142
"Minute Maid Park",2024,33409,166
"Kauffman Stadium",2024,15091,133
"Oakland-Alameda County Coliseum",2024,3938,142
"Globe Life Field in Arlington",2024,28229,129
"Rogers Centre",2024,25603,153
"Truist Park",2024,34245,154
"Wrigley Field",2024,31119,145
"Dodger Stadium",2024,48395,191
"Marlins Park",2024,6794,142
"Citi Field",2024,34225,169
"Petco Park",2024,39143,146
"Oracle Park",2024,28766,140
"Busch Stadium III",2024,30022,149
"Nationals Park",2024,16433,141
"Minute Maid Park",2024,34436,167
"Kauffman Stadium",2024,16310,178
"Yankee Stadium II",2024,41426,245
"Oakland-Alameda County Coliseum",2024,4377,114
"Globe Life Field in Arlington",2024,25074,123
"Rogers Centre",2024,34662,139
"Truist Park",2024,33221,153
"Wrigley Field",2024,31940,158
"Dodger Stadium",2024,45295,167
"Marlins Park",2024,8248,198
"Citi Field",2024,32871,150
"Petco Park",2024,36589,175
"Oracle Park",2024,28375,130
"Busch Stadium III",2024,29580,231
"Nationals Park",2024,18847,136
"Minute Maid Park",2024,31954,154
"Kauffman Stadium",2024,13009,124
"Yankee Stadium II",2024,41263,140
"Oakland-Alameda County Coliseum",2024,10339,152
"Globe Life Field in Arlington",2024,28707,148
"Rogers Centre",2024,27057,196
"Truist Park",2024,34704,140
"Wrigley Field",2024,33536,133
"PNC Park",2024,16635,144
"Petco Park",2024,41673,177
"Busch Stadium III",2024,28630,155
"Nationals Park",2024,18349,159
"Oriole Park at Camden Yards",2024,22212,164
"Yankee Stadium II",2024,38105,172
"Oakland-Alameda County Coliseum",2024,5142,150
"Rogers Centre",2024,25900,142
"Truist Park",2024,37203,160
"Dodger Stadium",2024,45556,147
"Marlins Park",2024,13992,167
"PNC Park",2024,19941,169
"Petco Park",2024,40556,154
"Oriole Park at Camden Yards",2024,39578,168
"Fenway Park",2024,32016,160
"Guaranteed Rate Field;U.S. Cellular Field",2024,24012,173
"Progressive Field",2024,33786,165
"Kauffman Stadium",2024,25491,164
"Target Field",2024,29634,173
"Yankee Stadium II",2024,38910,143
"Oakland-Alameda County Coliseum",2024,14031,171
"Safeco Field",2024,38762,185
"Rogers Centre",2024,25431,145
"Truist Park",2024,40230,152
"Dodger Stadium",2024,48488,170
"Marlins Park",2024,18138,161
"PNC Park",2024,38137,148
"Petco Park",2024,42284,145
"Oriole Park at Camden Yards",2024,35302,150
"Fenway Park",2024,35528,164
"Guaranteed Rate Field;U.S. Cellular Field",2024,23570,167
"Progressive Field",2024,33037,160
"Kauffman Stadium",2024,27002,164
"Target Field",2024,35183,140
"Yankee Stadium II",2024,40438,180
"Oakland-Alameda County Coliseum",2024,12769,178
"Safeco Field",2024,38027,184
"Rogers Centre",2024,34011,129
"Truist Park",2024,32327,161
"Dodger Stadium",2024,52464,123
"Marlins Park",2024,17275,146
"PNC Park",2024,18653,163
"Petco Park",2024,41870,166
"Oriole Park at Camden Yards",2024,21654,162
"Fenway Park",2024,31453,150
"Guaranteed Rate Field;U.S. Cellular Field",2024,16928,177
"Progressive Field",2024,28970,143
"Kauffman Stadium",2024,18193,161
"Target Field",2024,28018,144
"Yankee Stadium II",2024,41324,175
"Oakland-Alameda County Coliseum",2024,15961,147
"Safeco Field",2024,35062,159
"Rogers Centre",2024,37036,153
"Coors Field",2024,20338,148
"Citizens Bank Park",2024,39627,169
"PNC Park",2024,11936,193
"Busch Stadium III",2024,28697,174
"Nationals Park",2024,32812,166
"Fenway Park",2024,29097,152
"Guaranteed Rate Field;U.S. Cellular Field",2024,10975,160
"Progressive Field",2024,17738,156
"Progressive Field",2024,16856,155
"Target Field",2024,18974,156
"Safeco Field",2024,29755,130
"Chase Field",2024,22575,171
"Great American Ballpark",2024,15786,177
"Coors Field",2024,20284,168
"Dodger Stadium",2024,52382,161
"Miller Park",2024,24354,172
"Citizens Bank Park",2024,39373,149
"PNC Park",2024,13619,177
"Busch Stadium III",2024,27224,172
"Nationals Park",2024,34334,151
"Fenway Park",2024,29634,145
"Guaranteed Rate Field;U.S. Cellular Field",2024,NA,151
"Progressive Field",2024,19820,161
"Comerica Park",2024,18258,137
"Target Field",2024,20200,198
"Safeco Field",2024,26153,156
"Chase Field",2024,27059,158
"Great American Ballpark",2024,12065,147
"Coors Field",2024,20526,161
"Dodger Stadium",2024,53290,150
"Miller Park",2024,23247,163
"Citizens Bank Park",2024,37778,148
"PNC Park",2024,12660,217
"Busch Stadium III",2024,30999,180
"Nationals Park",2024,30190,167
"Fenway Park",2024,32809,125
"Guaranteed Rate Field;U.S. Cellular Field",2024,11285,155
"Progressive Field",2024,19722,173
"Comerica Park",2024,16303,153
"Target Field",2024,19142,159
"Safeco Field",2024,35131,138
"Chase Field",2024,18425,141
"Great American Ballpark",2024,36098,169
"Coors Field",2024,20949,178
"Dodger Stadium",2024,53203,175
"Miller Park",2024,30920,134
"Citizens Bank Park",2024,40451,162
"Busch Stadium III",2024,26553,160
"Fenway Park",2024,31712,132
"Guaranteed Rate Field;U.S. Cellular Field",2024,10402,153
"Comerica Park",2024,16119,146
"Minute Maid Park",2024,32070,156
"Chase Field",2024,46606,193
"Great American Ballpark",2024,14436,190
"Great American Ballpark",2024,22488,160
"Coors Field",2024,30444,150
"Citizens Bank Park",2024,40193,159
"Oracle Park",2024,33606,141
"Nationals Park",2024,28792,159
"Angel Stadium of Anaheim",2024,34435,174
"Guaranteed Rate Field;U.S. Cellular Field",2024,15288,156
"Progressive Field",2024,32132,166
"Comerica Park",2024,25207,160
"Minute Maid Park",2024,37279,136
"Target Field",2024,24623,146
"Yankee Stadium II",2024,47103,145
"Tropicana Field",2024,17547,206
"Globe Life Field in Arlington",2024,28111,158
"Chase Field",2024,50041,170
"Great American Ballpark",2024,27881,197
"Coors Field",2024,38166,172
"Citizens Bank Park",2024,42730,136
"Oracle Park",2024,36087,142
"Nationals Park",2024,32995,158
"Angel Stadium of Anaheim",2024,34253,156
"Guaranteed Rate Field;U.S. Cellular Field",2024,18627,169
"Progressive Field",2024,35747,166
"Comerica Park",2024,34355,121
"Minute Maid Park",2024,37776,141
"Target Field",2024,30517,150
"Yankee Stadium II",2024,41454,157
"Tropicana Field",2024,16600,157
"Globe Life Field in Arlington",2024,28454,140
"Chase Field",2024,46278,158
"Great American Ballpark",2024,26457,184
"Coors Field",2024,32961,142
"Citizens Bank Park",2024,43249,194
"Oracle Park",2024,41187,158
"Nationals Park",2024,31086,162
"Angel Stadium of Anaheim",2024,39370,156
"Guaranteed Rate Field;U.S. Cellular Field",2024,16887,138
"Progressive Field",2024,33750,134
"Comerica Park",2024,30173,142
"Minute Maid Park",2024,40229,151
"Target Field",2024,32774,163
"Yankee Stadium II",2024,42768,201
"Tropicana Field",2024,17494,192
"Globe Life Field in Arlington",2024,33309,183
"Chase Field",2024,43747,205
"Wrigley Field",2024,33583,138
"Great American Ballpark",2024,24606,183
"Miller Park",2024,41731,175
"Citi Field",2024,35064,142
"Petco Park",2024,44957,138
"Oriole Park at Camden Yards",2024,35906,194
"Kauffman Stadium",2024,30612,135
"Oakland-Alameda County Coliseum",2024,12167,160
"Tropicana Field",2024,11636,171
"Globe Life Field in Arlington",2024,36815,167
"Truist Park",2024,32672,151
"Wrigley Field",2024,29450,150
"Marlins Park",2024,6854,156
"Miller Park",2024,20027,193
"Citi Field",2024,29400,155
"Oracle Park",2024,23545,167
"Angel Stadium of Anaheim",2024,44731,160
"Oriole Park at Camden Yards",2024,15108,164
"Kauffman Stadium",2024,14813,168
"Oakland-Alameda County Coliseum",2024,3924,135
"Tropicana Field",2024,10531,146
"Globe Life Field in Arlington",2024,29356,183
"Rogers Centre",2024,23796,203
"Truist Park",2024,36859,160
"Wrigley Field",2024,30369,130
"Great American Ballpark",2024,17865,176
"Marlins Park",2024,6156,174
"Miller Park",2024,20027,175
"Citi Field",2024,26270,170
"Petco Park",2024,41669,203
"Oracle Park",2024,22855,162
"Angel Stadium of Anaheim",2024,44822,138
"Oriole Park at Camden Yards",2024,17843,174
"Kauffman Stadium",2024,14094,143
"Oakland-Alameda County Coliseum",2024,4390,167
"Tropicana Field",2024,11513,148
"Globe Life Field in Arlington",2024,32223,191
"Rogers Centre",2024,23768,150
"Truist Park",2024,32811,129
"Great American Ballpark",2024,16126,143
"Marlins Park",2024,9355,153
"PNC Park",2024,10155,167
"Petco Park",2024,40221,143
"Oracle Park",2024,27871,155
"Oakland-Alameda County Coliseum",2024,5581,171
"Tropicana Field",2024,10584,145
"Globe Life Field in Arlington",2024,22926,136
"Truist Park",2024,37230,143
"Wrigley Field",2024,40101,162
"Dodger Stadium",2024,45318,137
"Marlins Park",2024,15963,177
"Miller Park",2024,26582,145
"Citi Field",2024,25335,155
"Petco Park",2024,42595,153
"Busch Stadium III",2024,37476,172
"Oriole Park at Camden Yards",2024,25439,150
"Fenway Park",2024,32625,143
"Minute Maid Park",2024,34218,155
"Kauffman Stadium",2024,19484,136
"Oakland-Alameda County Coliseum",2024,14669,225
"Globe Life Field in Arlington",2024,31014,140
"Truist Park",2024,38276,165
"Wrigley Field",2024,40080,154
"Dodger Stadium",2024,48690,154
"Marlins Park",2024,23189,173
"Miller Park",2024,33603,136
"Citi Field",2024,34048,146
"PNC Park",2024,13687,156
"PNC Park",2024,18937,200
"Petco Park",2024,43318,145
"Busch Stadium III",2024,38532,145
"Oriole Park at Camden Yards",2024,34256,172
"Fenway Park",2024,31691,154
"Minute Maid Park",2024,35739,173
"Kauffman Stadium",2024,29160,134
"Oakland-Alameda County Coliseum",2024,14694,143
"Globe Life Field in Arlington",2024,31501,165
"Truist Park",2024,36394,184
"Wrigley Field",2024,39364,138
"Dodger Stadium",2024,44207,151
"Marlins Park",2024,15202,139
"Miller Park",2024,42015,147
"Citi Field",2024,28142,172
"PNC Park",2024,12369,129
"Petco Park",2024,42996,169
"Busch Stadium III",2024,41302,171
"Oriole Park at Camden Yards",2024,29519,167
"Fenway Park",2024,29110,155
"Minute Maid Park",2024,34154,185
"Kauffman Stadium",2024,26477,128
"Oakland-Alameda County Coliseum",2024,11250,181
"Globe Life Field in Arlington",2024,32240,151
"Truist Park",2024,34883,140
"Dodger Stadium",2024,50495,170
"Citizens Bank Park",2024,39511,160
"PNC Park",2024,10311,151
"Fenway Park",2024,30600,165
"Guaranteed Rate Field;U.S. Cellular Field",2024,11429,170
"Target Field",2024,14445,144
"Yankee Stadium II",2024,35308,171
"Rogers Centre",2024,27470,159
"Chase Field",2024,25499,156
"Dodger Stadium",2024,51923,156
"Citizens Bank Park",2024,40088,165
"PNC Park",2024,10391,159
"Oracle Park",2024,25096,127
"Busch Stadium III",2024,30350,154
"Nationals Park",2024,17668,155
"Fenway Park",2024,30898,172
"Guaranteed Rate Field;U.S. Cellular Field",2024,12246,157
"Comerica Park",2024,18120,131
"Minute Maid Park",2024,36234,194
"Target Field",2024,18311,149
"Yankee Stadium II",2024,34485,148
"Safeco Field",2024,25012,177
"Rogers Centre",2024,28109,176
"Chase Field",2024,20473,167
"Dodger Stadium",2024,48691,176
"Citizens Bank Park",2024,40715,143
"PNC Park",2024,10252,150
"Oracle Park",2024,22042,156
"Busch Stadium III",2024,30179,157
"Nationals Park",2024,15585,140
"Fenway Park",2024,32448,163
"Guaranteed Rate Field;U.S. Cellular Field",2024,11252,180
"Comerica Park",2024,18847,147
"Minute Maid Park",2024,32327,150
"Target Field",2024,15660,153
"Yankee Stadium II",2024,40080,197
"Safeco Field",2024,21129,152
"Rogers Centre",2024,29399,157
"Oracle Park",2024,22184,148
"Busch Stadium III",2024,32528,147
"Nationals Park",2024,13299,145
"Progressive Field",2024,19188,165
"Comerica Park",2024,19538,153
"Minute Maid Park",2024,30720,141
"Yankee Stadium II",2024,40229,174
"Safeco Field",2024,22212,169
"Chase Field",2024,31033,168
"Truist Park",2024,40339,146
"Coors Field",2024,38406,143
"Citizens Bank Park",2024,44607,170
"PNC Park",2024,24748,166
"Oracle Park",2024,39798,153
"Nationals Park",2024,20584,136
"Angel Stadium of Anaheim",2024,36226,143
"Guaranteed Rate Field;U.S. Cellular Field",2024,26513,140
"Progressive Field",2024,24160,141
"Comerica Park",2024,25253,140
"Target Field",2024,27170,141
"Yankee Stadium II",2024,45292,172
"Safeco Field",2024,32996,161
"Rogers Centre",2024,30380,185
"Chase Field",2024,44886,183
"Truist Park",2024,42732,150
"Coors Field",2024,47493,164
"Citizens Bank Park",2024,44563,147
"PNC Park",2024,15439,169
"Oracle Park",2024,31243,153
"Nationals Park",2024,28175,142
"Angel Stadium of Anaheim",2024,39880,166
"Guaranteed Rate Field;U.S. Cellular Field",2024,21478,182
"Progressive Field",2024,31362,136
"Comerica Park",2024,33513,155
"Target Field",2024,28881,151
"Yankee Stadium II",2024,46378,171
"Safeco Field",2024,33629,162
"Rogers Centre",2024,33999,152
"Chase Field",2024,33708,230
"Truist Park",2024,39198,162
"Coors Field",2024,40706,192
"Citizens Bank Park",2024,44786,133
"PNC Park",2024,20078,168
"Oracle Park",2024,33043,162
"Nationals Park",2024,18265,141
"Angel Stadium of Anaheim",2024,41005,166
"Guaranteed Rate Field;U.S. Cellular Field",2024,18017,133
"Progressive Field",2024,21144,146
"Comerica Park",2024,20643,140
"Target Field",2024,22545,169
"Yankee Stadium II",2024,45552,171
"Safeco Field",2024,36137,137
"Rogers Centre",2024,34793,146
"Truist Park",2024,37109,157
"Wrigley Field",2024,34532,153
"Coors Field",2024,18454,134
"Miller Park",2024,28713,168
"Citi Field",2024,21694,148
"Petco Park",2024,44443,164
"Busch Stadium III",2024,30138,155
"Angel Stadium of Anaheim",2024,35587,161
"Progressive Field",2024,17559,171
"Kauffman Stadium",2024,18920,178
"Wrigley Field",2024,32718,168
"Great American Ballpark",2024,20955,184
"Coors Field",2024,20421,162
"Marlins Park",2024,17902,177
"Miller Park",2024,30059,160
"Citi Field",2024,24932,163
"Petco Park",2024,44553,195
"Busch Stadium III",2024,30562,143
"Angel Stadium of Anaheim",2024,36254,151
"Oriole Park at Camden Yards",2024,23967,169
"Progressive Field",2024,17391,157
"Kauffman Stadium",2024,21086,173
"Safeco Field",2024,31668,182
"Tropicana Field",2024,12169,154
"Globe Life Field in Arlington",2024,29906,208
"Wrigley Field",2024,27806,160
"Great American Ballpark",2024,18959,140
"Coors Field",2024,20805,159
"Marlins Park",2024,17138,168
"Miller Park",2024,30048,161
"Citi Field",2024,34196,146
"Petco Park",2024,42883,126
"Busch Stadium III",2024,30061,165
"Angel Stadium of Anaheim",2024,22757,215
"Oriole Park at Camden Yards",2024,23856,156
"Progressive Field",2024,19391,166
"Kauffman Stadium",2024,16279,156
"Safeco Field",2024,31674,186
"Tropicana Field",2024,12153,144
"Globe Life Field in Arlington",2024,34625,130
"Wrigley Field",2024,31479,171
"Great American Ballpark",2024,20071,178
"Marlins Park",2024,17560,186
"Miller Park",2024,25093,157
"Citi Field",2024,35982,156
"Busch Stadium III",2024,32194,141
"Oriole Park at Camden Yards",2024,23181,168
"Progressive Field",2024,21707,184
"Minute Maid Park",2024,33107,153
"Safeco Field",2024,34255,162
"Tropicana Field",2024,13120,127
"Globe Life Field in Arlington",2024,30384,137
"Wrigley Field",2024,29590,139
"Great American Ballpark",2024,40541,141
"Dodger Stadium",2024,49073,141
"Marlins Park",2024,17139,154
"Miller Park",2024,32123,176
"Citi Field",2024,41474,177
"Petco Park",2024,45790,173
"Busch Stadium III",2024,33967,142
"Oriole Park at Camden Yards",2024,33629,146
"Fenway Park",2024,33052,238
"Minute Maid Park",2024,39666,174
"Kauffman Stadium",2024,22117,162
"Oakland-Alameda County Coliseum",2024,23426,156
"Tropicana Field",2024,14372,143
"Globe Life Field in Arlington",2024,33387,164
"Wrigley Field",2024,38819,143
"Great American Ballpark",2024,25574,148
"Dodger Stadium",2024,52267,173
"Marlins Park",2024,25227,163
"Miller Park",2024,35068,162
"Citi Field",2024,44152,143
"Petco Park",2024,45360,158
"Busch Stadium III",2024,41317,159
"Oriole Park at Camden Yards",2024,39647,200
"Minute Maid Park",2024,40502,169
"Kauffman Stadium",2024,24189,134
"Oakland-Alameda County Coliseum",2024,33198,159
"Tropicana Field",2024,20704,167
"Globe Life Field in Arlington",2024,39929,206
"Wrigley Field",2024,30086,154
"Great American Ballpark",2024,34750,145
"Dodger Stadium",2024,50730,173
"Marlins Park",2024,20490,165
"Miller Park",2024,37612,214
"Citi Field",2024,43139,150
"Petco Park",2024,45197,144
"Busch Stadium III",2024,39100,135
"Oriole Park at Camden Yards",2024,44040,160
"Fenway Park",2024,32307,151
"Fenway Park",2024,31941,161
"Minute Maid Park",2024,39631,186
"Kauffman Stadium",2024,24189,128
"Oakland-Alameda County Coliseum",2024,24663,175
"Tropicana Field",2024,20567,164
"Globe Life Field in Arlington",2024,39882,148
"Chase Field",2024,23359,161
"Citizens Bank Park",2024,42386,154
"Minute Maid Park",2024,34554,159
"Rogers Centre",2024,22254,155
"Chase Field",2024,22355,153
"Truist Park",2024,40103,136
"Coors Field",2024,25944,159
"Dodger Stadium",2024,50369,164
"Citizens Bank Park",2024,42033,164
"PNC Park",2024,14020,161
"Nationals Park",2024,14477,167
"Guaranteed Rate Field;U.S. Cellular Field",2024,17606,126
"Progressive Field",2024,19752,142
"Comerica Park",2024,22770,119
"Minute Maid Park",2024,38195,146
"Target Field",2024,21983,167
"Yankee Stadium II",2024,41149,191
"Oakland-Alameda County Coliseum",2024,30402,154
"Rogers Centre",2024,29178,195
"Chase Field",2024,23767,164
"Coors Field",2024,26863,131
"Dodger Stadium",2024,52310,167
"Citizens Bank Park",2024,42438,164
"PNC Park",2024,15965,131
"Nationals Park",2024,16670,144
"Guaranteed Rate Field;U.S. Cellular Field",2024,18423,173
"Progressive Field",2024,25860,132
"Comerica Park",2024,32463,161
"Minute Maid Park",2024,32219,165
"Target Field",2024,18162,164
"Yankee Stadium II",2024,41010,191
"Oakland-Alameda County Coliseum",2024,35270,169
"Rogers Centre",2024,27694,150
"Coors Field",2024,25344,172
"Dodger Stadium",2024,52433,149
"PNC Park",2024,16797,172
"Nationals Park",2024,14357,147
"Guaranteed Rate Field;U.S. Cellular Field",2024,15678,150
"Comerica Park",2024,27867,143
"Target Field",2024,17341,256
"Yankee Stadium II",2024,42022,170
"Oakland-Alameda County Coliseum",2024,46889,149
"Chase Field",2024,43310,174
"Truist Park",2024,36212,119
"Wrigley Field",2024,32083,108
"Coors Field",2024,48750,179
"Miller Park",2024,33996,185
"Oracle Park",2024,35101,166
"Nationals Park",2024,31796,152
"Angel Stadium of Anaheim",2024,39308,148
"Fenway Park",2024,33694,145
"Progressive Field",2024,34149,195
"Comerica Park",2024,44435,138
"Target Field",2024,26058,169
"Yankee Stadium II",2024,41778,168
"Safeco Field",2024,41429,146
"Rogers Centre",2024,31597,187
"Chase Field",2024,42915,151
"Truist Park",2024,38775,140
"Wrigley Field",2024,38180,133
"Coors Field",2024,48395,173
"Miller Park",2024,39637,151
"Oracle Park",2024,36328,171
"Nationals Park",2024,38135,155
"Angel Stadium of Anaheim",2024,41560,188
"Fenway Park",2024,35333,148
"Progressive Field",2024,33609,166
"Comerica Park",2024,41933,146
"Target Field",2024,30558,156
"Yankee Stadium II",2024,46069,169
"Safeco Field",2024,33007,177
"Rogers Centre",2024,35733,153
"Chase Field",2024,38892,161
"Truist Park",2024,39043,165
"Wrigley Field",2024,33792,181
"Coors Field",2024,48320,153
"Miller Park",2024,33754,154
"Oracle Park",2024,32348,149
"Nationals Park",2024,26729,160
"Angel Stadium of Anaheim",2024,35145,141
"Fenway Park",2024,34862,133
"Comerica Park",2024,41740,178
"Target Field",2024,26041,142
"Yankee Stadium II",2024,44108,175
"Safeco Field",2024,42177,149
"Rogers Centre",2024,31688,157
"Truist Park",2024,0,178
"Truist Park",2024,41561,134
"Wrigley Field",2023,36054,141
"Great American Ballpark",2023,44063,182
"Dodger Stadium",2023,52075,155
"Marlins Park",2023,31397,162
"Petco Park",2023,45103,176
"Busch Stadium III",2023,47649,218
"Nationals Park",2023,35756,187
"Fenway Park",2023,36049,190
"Minute Maid Park",2023,43032,158
"Kauffman Stadium",2023,38351,152
"Yankee Stadium II",2023,46172,153
"Oakland-Alameda County Coliseum",2023,26805,150
"Safeco Field",2023,45268,134
"Tropicana Field",2023,25025,134
"Globe Life Field in Arlington",2023,38387,184
"Dodger Stadium",2023,45389,161
"Marlins Park",2023,14797,129
"Petco Park",2023,43177,147
"Minute Maid Park",2023,41453,160
"Safeco Field",2023,31516,185
"Wrigley Field",2023,31363,152
"Great American Ballpark",2023,22224,136
"Dodger Stadium",2023,48886,134
"Marlins Park",2023,14695,174
"Petco Park",2023,42663,160
"Busch Stadium III",2023,44461,151
"Nationals Park",2023,27529,141
"Fenway Park",2023,29062,184
"Minute Maid Park",2023,37519,191
"Kauffman Stadium",2023,16633,138
"Yankee Stadium II",2023,41642,192
"Oakland-Alameda County Coliseum",2023,15757,144
"Safeco Field",2023,44250,124
"Tropicana Field",2023,20204,168
"Globe Life Field in Arlington",2023,31916,190
"Wrigley Field",2023,33266,177
"Great American Ballpark",2023,14421,144
"Dodger Stadium",2023,46549,152
"Marlins Park",2023,18322,160
"Petco Park",2023,43972,123
"Busch Stadium III",2023,45525,149
"Nationals Park",2023,21440,137
"Fenway Park",2023,27886,164
"Minute Maid Park",2023,42835,186
"Kauffman Stadium",2023,14589,155
"Yankee Stadium II",2023,42053,147
"Oakland-Alameda County Coliseum",2023,14638,152
"Safeco Field",2023,34045,177
"Tropicana Field",2023,19425,130
"Globe Life Field in Arlington",2023,25823,144
"Great American Ballpark",2023,11941,155
"Dodger Stadium",2023,49792,167
"Marlins Park",2023,8898,151
"Miller Park",2023,42017,157
"Petco Park",2023,37602,149
"Busch Stadium III",2023,37689,166
"Nationals Park",2023,10754,145
"Fenway Park",2023,28369,177
"Guaranteed Rate Field;U.S. Cellular Field",2023,34784,156
"Minute Maid Park",2023,29272,201
"Kauffman Stadium",2023,10810,157
"Yankee Stadium II",2023,37202,161
"Oakland-Alameda County Coliseum",2023,3035,199
"Safeco Field",2023,18877,169
"Globe Life Field in Arlington",2023,15867,138
"Great American Ballpark",2023,13399,172
"Dodger Stadium",2023,52290,145
"Marlins Park",2023,10668,117
"Miller Park",2023,19412,137
"Petco Park",2023,34542,175
"Busch Stadium III",2023,36501,140
"Nationals Park",2023,15272,165
"Fenway Park",2023,28842,156
"Minute Maid Park",2023,30613,152
"Kauffman Stadium",2023,12123,152
"Yankee Stadium II",2023,35392,165
"Oakland-Alameda County Coliseum",2023,3407,161
"Safeco Field",2023,19255,151
"Globe Life Field in Arlington",2023,16268,150
"Marlins Park",2023,8981,130
"Miller Park",2023,18387,165
"Busch Stadium III",2023,36300,147
"Nationals Park",2023,13836,152
"Fenway Park",2023,24477,152
"Guaranteed Rate Field;U.S. Cellular Field",2023,15980,169
"Minute Maid Park",2023,37932,155
"Kauffman Stadium",2023,10015,137
